=== Informe del Plan de Estudio ===
Plan ID: 83
Fecha inicio: 2025-11-17
Fecha fin: 2026-10-20
Total de días: 338

=== Detalle por día ===
2025-11-17 | progreso: 0.3% | estudio: 2 | límite: 2 | cumple: Sí | Temas: Bloque ORGANIZACION · Tema 2: Ley Orgánica 5/2005, de la Defensa Nacional; Bloque ORGANIZACION · Tema 3: Ley 40/2015, de Régimen Jurídico del Sector Público
2025-11-18 | progreso: 0.59% | estudio: 2 | límite: 2 | cumple: Sí | Temas: Bloque ORGANIZACION · Tema 3: Ley 40/2015, de Régimen Jurídico del Sector Público; Bloque ORGANIZACION · Tema 4: Real Decreto 205/2024, Ministerio de Defensa
2025-11-19 | progreso: 0.89% | estudio: 2 | límite: 2 | cumple: Sí | Temas: Bloque ORGANIZACION · Tema 4: Real Decreto 205/2024, Ministerio de Defensa; Bloque ORGANIZACION · Tema 5: Real Decreto 521/2020, Organización Básica de las Fuerzas Armadas
2025-11-20 | progreso: 1.18% | estudio: 2 | límite: 2 | cumple: Sí | Temas: Bloque ORGANIZACION · Tema 5: Real Decreto 521/2020, Organización Básica de las Fuerzas Armadas; Bloque ORGANIZACION · Tema 6: Instrucciones EMAD, ET, ARMADA y EA
2025-11-21 | progreso: 1.48% | estudio: 3 | límite: 2 | cumple: No | Temas: Bloque ORGANIZACION · Tema 6: Instrucciones EMAD, ET, ARMADA y EA; Bloque JURIDICO_SOCIAL · Tema 1: Ley 8/2006, Tropa y Marinería / Ley 39/2007 de la Carrera Militar; Bloque ORGANIZACION · Tema 1: Constitución Española de 1978. Títulos III, IV, V, VI y VIII
2025-11-22 | progreso: 1.78% | estudio: 0 | límite: 2 | cumple: Sí | Temas: -
2025-11-23 | progreso: 2.07% | estudio: 1 | límite: 2 | cumple: Sí | Temas: Bloque JURIDICO_SOCIAL · Tema 2: Real Decreto 96/2009, Reales Ordenanzas para las Fuerzas Armadas
2025-11-24 | progreso: 2.37% | estudio: 1 | límite: 2 | cumple: Sí | Temas: Bloque JURIDICO_SOCIAL · Tema 2: Real Decreto 96/2009, Reales Ordenanzas para las Fuerzas Armadas
2025-11-25 | progreso: 2.66% | estudio: 1 | límite: 2 | cumple: Sí | Temas: Bloque JURIDICO_SOCIAL · Tema 3: Ley Orgánica 9/2011, Derechos y Deberes FAS
2025-11-26 | progreso: 2.96% | estudio: 1 | límite: 2 | cumple: Sí | Temas: Bloque ORGANIZACION · Tema 3: Ley 40/2015, de Régimen Jurídico del Sector Público
2025-11-27 | progreso: 3.25% | estudio: 1 | límite: 2 | cumple: Sí | Temas: Bloque ORGANIZACION · Tema 4: Real Decreto 205/2024, Ministerio de Defensa
